,gene_name,gene_id
551,Otos,ENSMUSG00000044055.5
552,Gm29483,ENSMUSG00000100546.1
553,Gpc1,ENSMUSG00000034220.7
554,Ankmy1,ENSMUSG00000034212.14
555,Dusp28,ENSMUSG00000047067.7
556,5033417F24Rik,ENSMUSG00000097251.2
557,Rnpepl1,ENSMUSG00000026269.14
558,9430060I03Rik,ENSMUSG00000100632.1
559,Capn10,ENSMUSG00000026270.11
560,Gpr35,ENSMUSG00000026271.15
561,Aqp12,ENSMUSG00000045091.4
562,Kif1a,ENSMUSG00000014602.15
563,Crocc2,ENSMUSG00000084989.3
564,Sned1,ENSMUSG00000047793.13
565,Mterf4,ENSMUSG00000026273.13
566,Gm28535,ENSMUSG00000101172.1
567,Pask,ENSMUSG00000026274.11
568,Ppp1r7,ENSMUSG00000026275.13
569,Ano7,ENSMUSG00000034107.10
570,Hdlbp,ENSMUSG00000034088.15
571,Sept2,ENSMUSG00000026276.20
572,Farp2,ENSMUSG00000034066.13
573,Stk25,ENSMUSG00000026277.14
574,Gm28536,ENSMUSG00000100927.1
575,Bok,ENSMUSG00000026278.14
576,Thap4,ENSMUSG00000026279.14
577,Atg4b,ENSMUSG00000026280.17
578,Dtymk,ENSMUSG00000026281.15
579,Ing5,ENSMUSG00000026283.13
580,D2hgdh,ENSMUSG00000073609.9
581,Gal3st2c,ENSMUSG00000073608.4
582,Neu4,ENSMUSG00000034000.15
583,Pdcd1,ENSMUSG00000026285.7
584,Fam174a,ENSMUSG00000051185.9
585,St8sia4,ENSMUSG00000040710.10
586,Slco4c1,ENSMUSG00000040693.7
587,D1Ertd622e,ENSMUSG00000044768.16
588,Ppip5k2,ENSMUSG00000040648.14
589,Gin1,ENSMUSG00000026333.14
590,Pam,ENSMUSG00000026335.16
591,B230216N24Rik,ENSMUSG00000089706.7
592,Gm7967,ENSMUSG00000100009.6
593,Cntnap5b,ENSMUSG00000067028.11
594,Gm28187,ENSMUSG00000099375.1
595,Cdh20,ENSMUSG00000050840.8
596,Rnf152,ENSMUSG00000047496.6
597,Gm17634,ENSMUSG00000097482.2
598,Gm28403,ENSMUSG00000101214.1
599,Pign,ENSMUSG00000056536.14
600,Relch,ENSMUSG00000026319.13
601,Tnfrsf11a,ENSMUSG00000026321.7
602,Gm7160,ENSMUSG00000099843.1
603,Zcchc2,ENSMUSG00000038866.15
604,Gm20753,ENSMUSG00000101583.1
605,Phlpp1,ENSMUSG00000044340.7
606,A530053M12Rik,ENSMUSG00000100247.1
607,Bcl2,ENSMUSG00000057329.7
608,Kdsr,ENSMUSG00000009905.5
609,Vps4b,ENSMUSG00000009907.17
610,Serpinb5,ENSMUSG00000067006.12
611,Serpinb2,ENSMUSG00000062345.10
612,Serpinb8,ENSMUSG00000026315.13
613,Gm15389,ENSMUSG00000086161.1
614,Cdh7,ENSMUSG00000026312.17
615,Cdh19,ENSMUSG00000047216.8
616,Dsel,ENSMUSG00000038702.6
617,9330185C12Rik,ENSMUSG00000097648.1
618,Cntnap5a,ENSMUSG00000070695.4
619,Gm28168,ENSMUSG00000101415.1
620,Gm29106,ENSMUSG00000102030.1
621,Tsn,ENSMUSG00000026374.14
622,Nifk,ENSMUSG00000026377.12
623,Gm28867,ENSMUSG00000099936.1
624,Clasp1,ENSMUSG00000064302.13
625,Tfcp2l1,ENSMUSG00000026380.10
626,Gli2,ENSMUSG00000048402.14
